"","EUKAP2_00000006","EUKAP2_00000044","EUKAP1_00000108","EUKAP2_00000018","EUKAP2_00000002","EUKAP1_00000028","EUKAP2_00000186","EUKAP1_00000465","EUKAP1_00000186","EUKAP1_00000177","EUKAP2_00000030","EUKAP2_00000022","EUKAP1_00000039","EUKAP1_00000072","EUKAP2_00000154","EUKAP1_00000459","EUKAP2_00000193","EUKAP1_00000329","EUKAP1_00000033","EUKAP1_00001012","EUKAP2_00000240","EUKAP2_00000191","EUKAP2_00000530","EUKAP2_00000095","EUKAP1_00000206","EUKAP1_00000011","EUKAP1_00000092","EUKAP1_00001538","EUKAP1_00000188","EUKAP2_00001219","EUKAP1_00000190","EUKAP2_00000008","EUKAP1_00000085","EUKAP2_00000474","EUKAP1_00003256","EUKAP300000070","EUKAP2_00001065","EUKAP2_00001127","EUKAP1_00000357","EUKAP1_00000701","EUKAP1_00003304","EUKAP2_00002016","EUKAP1_00000811","EUKAP1_00000713","EUKAP2_00000971","EUKAP2_00001304","EUKAP1_00000035","EUKAP1_00000326","EUKAP1_00001471","EUKAP1_00000406","EUKAP1_00001769","EUKAP1_00000362","EUKAP1_00004847","EUKAP2_00001858","EUKAP2_00001291","EUKAP1_00000529","EUKAP2_00002179","EUKAP1_00000828","EUKAP2_00012119","EUKAP1_00000738","EUKAP1_00001887","EUKAP2_00022484","EUKAP1_00001587","EUKAP2_00003841","EUKAP1_00002171","EUKAP1_00000777","EUKAP1_00008737","EUKAP1_00002035","EUKAP1_00005032","EUKAP2_00000709","EUKAP1_00000169","EUKAP1_00004792","EUKAP1_00020370","EUKAP2_00001740","EUKAP2_00009458","EUKAP2_00003831","EUKAP1_00023690","EUKAP2_00022266","EUKAP2_00010014","EUKAP1_00057446","EUKAP2_00045451","EUKAP300018830","EUKAP1_00064447","EUKAP2_00070726","EUKAP300156660","EUKAP300243013","EUKAP1_00194237","EUKAP300050198","EUKAP1_00392433","EUKAP301198149","EUKAP300118644","EUKAP300121790"
"Y_1",0.103171982498035,0.0138173259055338,0.0561274055906059,0.000708820755123385,0.0410143993021169,0.0419255322735103,0.0544123062436582,0.00395461374929401,0.299849063794709,0.00015466192338426,0.0273550544360562,0.00332960823929661,0.162688431454082,0.0149560082143345,0.0184393218768706,0.00038665480846065,0.011528766540191,0.000448160185332767,0.0130632253655572,0.000486260012642763,0.00850178743153793,0,0.0107670768748822,0.00274169084101863,5.00854288590913e-05,0,0.00553020194175162,6.93405606593994e-05,0.00146404217308039,0.00351739869964781,0,0.0114403064752949,5.00854288590913e-05,0.00324494337131742,0.00205248043854045,0.000552015809076418,0,0.00507861220943856,0.000550939717450004,0.00209099070214106,0,0.0062136649676595,0,0,0.00188992811592318,0.00118453690778009,0,0.000901637721263366,0.000784008694152808,0.000104010840989099,0,0.00335383466143997,0.0061079123797082,6.93405606593994e-05,0.0020259005610432,0.000524770276243379,0.000852528382230965,0,0.00213883310653772,0.00199548070027504,0.000100170857718183,0,0,0,0.00300363793512683,0.00015466192338426,0.00142148149351769,0.000758961399428202,0,3.46702803296997e-05,0,3.8665480846065e-05,3.8665480846065e-05,5.00854288590913e-05,0.0206611124616875,0,0,0.0156013897341127,0,0.00354936030377873,0,0,0.000871062643249755,5.00854288590913e-05,0,0,0,0,0,0,0,0
"Y_11",0.256399318393597,0.137315777994525,0.103523023145843,0.0181566715925661,0.0330001114107621,0.136419055903312,0.0457568427428832,0.00709522797449796,0.0116372227650776,0.00207600837382452,0.02638582897613,0.0137600184045295,0.00303906375878455,0.0131064776876033,0.0163376703145583,0,0.0674156286622928,0.00800079598158022,0,0.000326770358463134,0.0102465646840581,0.000894734851404894,0.0115076941238726,0.000655540293743866,0,0,0,0,0.000655540293743866,0.00670613581293248,0,0.00437167761419997,0,0.00600125182901732,0.00805572693491414,0,0,0.00841030771562089,0,0.00917067950059623,0.000326770358463134,0.012969836620493,0.000350303203208421,0,0.000350303203208421,0.0101805221511837,0,0,0,0.00141819007939993,0,0.00159534125782174,0,0,0.00401937483417395,8.75758008021053e-05,0,0,0.00113592898588352,0,8.75758008021053e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.00105090960962526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y_13",0.386053996369431,0.0107003726483971,0.097497387794531,0.030464597085643,0.07848453652118,0.0750730002775604,0.060889645600337,0.00722449545078403,0.00162392593148871,0.00343401831441655,0.033843018853713,0.021009259160121,0.00278360331153699,0.0197408232099632,0.0255104926805458,0.000740268759865872,0.03292880593946,0.00881615153700727,0,0.00045185235991813,0.0165051191178363,0,0.0158540582212101,0.00393801417334333,0,0,0.000546922951012015,0,0.00100466288085156,0.00753040066602576,0,0.00467319030943751,0,0.00422963519995715,0.0061297055502072,0.000259152444810926,0,0.01124297307972,0.000885570010795617,0.00456699047224745,0.000205096106629506,0.0082423743113748,0,0,0.00412370862550606,0.00110688798729298,0,0,0.000244843414115844,0.00160054954627331,0,0.00200358724418478,0,0.000943452027322597,0.0037114545206712,0.000122421707057922,0,0,0.000244843414115844,0.000428475974702727,0.000259152444810926,0,0,0,0.00181329700959393,0.000183632560586883,0,0,6.83653688765019e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1210853528961e-05,0,0,0,0,0
"Y_14",0.528245875762173,0.0309462243847143,0.0767011488061871,0.030473283248507,0.0952758234070115,0.0400943718397033,0.036786406328021,0.00728785395071866,0.00134781291658369,0.000250958850316695,0.0180291131205536,0.0208823811641192,0.00167278080469133,0.0137539189626364,0.015327237048445,0.000406684491708714,0.00667883757764717,0.00247450492430921,0,0.000968382235236064,0.00971331749141877,0.00015845875994856,0.0138919701010015,0.00629327309709529,0,0,0.000493718344963766,0,8.89055947791131e-05,0.00646333189336119,0,0.00331082083292533,0,0.00324830767147482,0.00320271179599565,0.00118797420497057,0,0.00526075910632066,0.00337333399437583,0.00196589002235728,0.000179533943623188,0.000694476459720681,8.89055947791131e-05,0,0.00404692908536319,0.00157035860458861,0,0,0.000266716784337339,0.000385609308034086,0,0.00251081946737241,0,0.00093753392928595,0.00166473043648081,0.000113575274042763,0,0,4.48834859057969e-05,4.48834859057969e-05,4.48834859057969e-05,0,0,0,0,0,6.8691788136966e-05,4.48834859057969e-05,4.48834859057969e-05,0.000137383576273932,0,8.89055947791131e-05,0.000250958850316695,0.000445389350928046,0,0,0,0,0,0,0,0,0,6.8691788136966e-05,0,0,0,0,0,0,0,0
"Y_18",0.494551930209601,0.218333839485432,0.0678821120874925,0.00613049582818754,0.0485535402364579,0.0234052367803342,0.0240015406583801,0.00388976277053965,0.000734838199745179,2.06816910625127e-05,0.0169560369582474,0.0188422079188779,0.00154701020069597,0.0105763529875388,0.0146635051155835,0,0.00166990527117926,0.000725506001732843,0,0.00103301429464781,0.00724626397313879,0,0.00695785296544842,0.00137133160973029,0,0,0.000701301491701954,0,0,0.00254877197112335,0,0.00352432603342963,0,0.00274506160784436,0.00276186647264596,0.000301655354617217,0,0.00330937437693673,0.000641167745591485,0.00102444428332734,6.79062480854914e-05,0.00220571791172752,0,4.13633821250255e-05,0.00246878936594942,0.000576794929327357,0,0.000101859372128237,0,4.76138869691106e-05,0,0.000956900279134588,0,0.000807808113383171,0.00124334578764111,0.0016539085285761,3.39531240427457e-05,0,0.00134130948405524,9.52277739382211e-05,0.000293474673242874,0,0,0,0,0,6.20450731875382e-05,0.000253271044356043,0,8.8977269094136e-05,0,0,0.000341088560211985,0.000623221977004883,0,0,0,0,0,0,0,0,0,2.38069434845553e-05,0,0,2.06816910625127e-05,0,0,0,0,0
"Y_21",0.370735920482104,0.0489090116599538,0.168134604364516,0.00807645829502724,0.140986018405013,0.0243021365009217,0.0416445522520658,0.00797709150401388,5.38455323097896e-05,0.000107691064619579,0.0216549500946704,0.0205602852484291,0.00315666003882616,0.0154683466427902,0.0178721211164231,0,0.00780094090048068,0.000291143998397645,0,0.00142403175395922,0.00978426304531282,5.38455323097896e-05,0.0110636357644027,0.00993041001496169,0,0,5.38455323097896e-05,0,0,0.00396201079619038,0,0.0088566838502746,0,0.00456060138459567,0.00973573357156773,0.000249712223809285,0,0.00378832976359263,0.000915744388628333,0.00154535518902672,0.00010562815939,0.0188351519823106,0,0,0.0074565950120497,0.0014050912866696,0,0,0.000181964998998528,0,0,0.00185807753039361,0,0,0.00268240110052991,0.00181843535812028,0,0,0,0,0.000637014147952119,0,0,0,0,0.000214807158789117,0,0.000197929596729074,0,0,0,0.00010562815939,0.000376918726168527,0.00015947369169979,0,0,0,0,0,0,0,7.87053932351054e-05,0,7.27859995994111e-05,0,0,0.000157410786470211,0,0,0,0,0
"Y_23",0.469613963821111,0.1327015439642,0.0639292640020857,0.000752997390712023,0.143602087714514,0.00968394495356734,0.0302194183035684,0.00185705655632502,0.000547488686593264,0,0.00939739334847541,0.0223847833444808,0.00135105171249741,0.0137607701100574,0.0103202575209219,0,0.0152625261212108,0,0,0.00364407636560189,0.0088482947974067,4.44083716684927e-05,0.0103536257437821,0.00255202309825863,0,0,0.00352511657354163,0,0,0.00327779610090461,0,0.00327520705823825,0,0.00233711768163071,0.0033669349017486,0.0001225271667984,0,0.00119481412223759,0.000142950599386379,0.000314748880043723,0,0.00348685959715117,0,0,0.00688136108756702,0.00288038774104753,0,0,0,0,0,0.000703726276853079,0,6.12635833992001e-05,0.00200193865463427,0.00982591637476281,0,0,9.85422277178867e-05,0,0.000511833335479496,0,0,0,0,4.92711138589433e-05,0,0.00020907692497603,0,0,0,0.000347164782171959,0.00427030110488012,4.44083716684927e-05,0,0,0,0,0,0,0,0,0,0.000194488698404678,0,0,4.92711138589433e-05,0,0,0,0,0
"Y_24",0.414535082125951,0.13160013266124,0.0573185308645185,0.210082618546114,0.0176039412906124,0.00932031314808336,0.015571800247142,0.00260686291765648,0.00077316732685448,0,0.0128326403610399,0.0320501410477754,0.0100945567331292,0.014202220304091,0.00753107529949368,0.00024290319488072,0.00715587513616736,0,0,0.0009499220375124,0.00545555277200232,0,0.0073109391048148,0.00280530837032488,0,0.00072870958464216,0.00048580638976144,0,0,0.00238565046478624,0,0.0031143600494284,0,0.00362293343939168,0.00450563073448992,0,0,0.0053449465455672,0.00185538633281248,0,0,0.00072870958464216,0.001082219005958,0,0.00185538633281248,0.00119282523239312,0,0.00024290319488072,0,0,0,0.00253963817524232,0,0.00017675471065792,0.00070701884263168,0.00682513271505336,0.00024290319488072,0,0.00035350942131584,0,0.00017675471065792,0.00136957994305104,0,0,0,0,0,0.00017675471065792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00024290319488072,0,0,0
"Y_25",0.383312587316995,0.13920852531425,0.0691583415961978,0.204544346651513,0.0322806247621122,0.00947433837970778,0.0166249054211043,0.00315547505862883,0.00597981530979104,0.00170941883425746,0.0115717198017256,0.0319633812628461,0.0051837660331209,0.00929269857365977,0.00660807238055004,0.000485704858264924,0.00112877707888179,0.000242537108288232,0,0.00688121306862652,0.00794501526148143,0.00057905968764656,0.00712278782385817,0.00881107936102169,0,0,0.00080077935617711,0,0.00034377522561913,0.00190464242265846,0,0.00414075942599182,0,0.00257043493511431,0.00627408616013721,0.000163056929739743,0,0.00157127591691817,0.00162331665113663,0.000640557715703213,0,0.0019443825119327,0.000814023365321797,0,0.0019519559425457,0.00283915826619583,0,0,0,0,0,0.00249380097284759,0.000394554676460675,0.000210049665274791,0.000916212908693347,9.39854710700951e-05,0.000774913917736012,0.000637722426437367,0.000589778264861669,5.80320971023479e-05,0.000329900574785984,0.000680297804977458,0,0,0,0.000195544372753185,0,0,0,0.000503366224404568,0,0.000713415889679359,0.00044596476899068,0.000116064194204696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y_26",0.304351828002688,0.175520201912316,0.0631496883995348,0.232631311298965,0.0557833424585199,0.00752768185604162,0.0195478105880221,0.00157561529068203,0.00107342537427492,0.000340466661263239,0.01321292243866,0.020168536046189,0.0109890907483844,0.0128423274916533,0.0103854909646053,0.000243741215176968,0.0106149039142523,0,0.0013335766750464,0.000307871490494181,0.00568090291391645,0.00076468635004035,0.00738066608695092,0.00256204250290148,0,0,0.00124918111421209,0,9.6725446086271e-05,0.00430441806703467,0,0.00225870121358976,0,0.00162160041292396,0.00439636396317306,0.000274633786404693,0.000435264507388219,0.0065508218633119,0.00106870264061195,0.000355591680216887,0,0.000680740790045965,0.000372001765811395,6.47728086376435e-05,0.00382792363900693,0.00376311836242985,0,0,0,0,0,0.000631093000361969,4.90052563635657e-05,0.00121745347718343,0.0013802367985482,0.000146373235770267,0.0012634710673648,0,0.00032556664272955,4.90052563635657e-05,0.000145730702449837,0.00287164906087644,0.00207758020666919,6.47728086376435e-05,0,0,0,9.6725446086271e-05,0,6.47728086376435e-05,0,0,0.000259508767451046,4.83627230431355e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Y_28",0.338067214260824,0.011004694794169,0.115394581581606,0.31052007444838,0.0316178859596452,0.00638232273357671,0.0187871420027409,0.0062545111803625,0.00264207067603817,0.00415197524813679,0.00796425703695394,0.0263694844210324,0.0228434167834916,0.0102414156611957,0.00548398263656916,0.000931037787381424,0.0131150586973098,0.000187715295649798,0,0.00100704243782986,0.00532838110823108,0.0011950781507542,0.00434921669423906,0.00167009339841215,0,0,0.00304929461737494,0,0.000303020849775939,0.00284129958172536,0,0.00299491365047853,0,0.00388106816567256,0.00671056217582945,0.000333498712004321,0,0.00135789795268531,0.00389287373724103,0.000124159732802493,0,0.00269648009867804,0.00189714073496668,0,0.00266895362934178,0.0098627132597294,0,0,0,0,0,0.000764946175283656,0,0.00149646309544681,0.00140736852284815,6.35555628473054e-05,0.00189909973880812,0,0.000311875028452292,0,0.000269943149157016,0.00423227523502959,0,0,0,0.000121208339910375,0,0,0,0.000792472644619921,0,0.000145783416354523,0.000184763902757681,0.000187715295649798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
