"","EUKAP2_00000006","EUKAP2_00000026","EUKAP2_00000031","EUKAP2_00000019","EUKAP2_00000044","EUKAP2_00000005","EUKAP2_00000051","EUKAP2_00000069","EUKAP1_00000108","EUKAP2_00000018","EUKAP2_00000042","EUKAP2_00000002","EUKAP1_00000028","EUKAP2_00000189","EUKAP1_00000034","EUKAP2_00000017","EUKAP1_00000069","EUKAP1_00000305","EUKAP2_00000186","EUKAP1_00000465","EUKAP1_00000536","EUKAP300000541","EUKAP1_00000186","EUKAP1_00000156","EUKAP1_00000177","EUKAP2_00000074","EUKAP1_00001000","EUKAP1_00000225","EUKAP2_00000246","EUKAP2_00000030","EUKAP2_00000022","EUKAP1_00000039","EUKAP2_00000125","EUKAP1_00000676","EUKAP1_00000072","EUKAP2_00000154","EUKAP1_00000459","EUKAP2_00000193","EUKAP1_00000329","EUKAP1_00000033","EUKAP1_00001012","EUKAP2_00000240","EUKAP2_00000191","EUKAP1_00000522","EUKAP2_00000530","EUKAP2_00000095","EUKAP1_00000082","EUKAP1_00000206","EUKAP1_00001406","EUKAP1_00000011","EUKAP1_00001616","EUKAP1_00000092","EUKAP2_00000195","EUKAP300002053","EUKAP1_00001538","EUKAP1_00001949","EUKAP1_00000145","EUKAP1_00000188","EUKAP1_00000560","EUKAP1_00000598","EUKAP1_00000190","EUKAP1_00001516","EUKAP1_00000085","EUKAP2_00000109","EUKAP300000070","EUKAP1_00000101","EUKAP1_00000129","EUKAP1_00000043","EUKAP1_00003304","EUKAP2_00002016","EUKAP1_00000916","EUKAP2_00000670","EUKAP1_00000326","EUKAP1_00001471","EUKAP1_00001769","EUKAP1_00001961","EUKAP1_00001111","EUKAP1_00001411","EUKAP1_00008425","EUKAP2_00010875","EUKAP300005273","EUKAP1_00002420","EUKAP1_00002617","EUKAP1_00000434","EUKAP1_00005382","EUKAP300002647","EUKAP1_00016976","EUKAP2_00000251","EUKAP1_00009728","EUKAP1_00013009","EUKAP2_00006487","EUKAP300006653","EUKAP1_00001258","EUKAP1_00002171","EUKAP2_00001865","EUKAP300002640","EUKAP2_00004825","EUKAP2_00016502","EUKAP2_00003459","EUKAP1_00000128","EUKAP2_00005315","EUKAP2_00001784","EUKAP1_00005518","EUKAP1_00010297","EUKAP2_00002133","EUKAP1_00057446","EUKAP2_00044418","EUKAP300018830","EUKAP300156660","EUKAP300243013","EUKAP300021552","EUKAP300050198","EUKAP1_00392433","EUKAP301198149","EUKAP300118644","EUKAP300121790"
"X_21",0.22512252843032,0,0.00219928966524599,0,0.12747001381789,0,0.0710769352465586,0,0.0533956044019039,0.000533860265632066,0,0.0235513450211752,0.00605611682807359,0.00329818690525141,0,0,0.0587209125971686,0,0.0215279766816807,0.0046724962871631,0,0,0.0741109816887692,0,0.000194553789966509,0,0.00191600567231702,0,0,0.00647875430857275,0.00616736345713522,0.00806309585605039,0.000761083872046448,0.00148954377939926,0.011039079936608,0.00496821508905408,0,0.000233482888661505,0.000547861912328092,0.00197048919559279,0.00238373787343393,0.00510905373635461,2.64623771153363e-05,0,0.00459460825468402,0.00381096002725559,0.000974363665839741,0,0.00507800052302677,0,0,0.00105523987054788,0.00512381581568419,0,2.64623771153363e-05,0.00187949554749806,0.00624766447232998,2.64623771153363e-05,0,0,0,0,0,0,0,0,0,0,0,0.000384415135419904,0,0,0,0,0,0,0,0,0,0,0,0,0.000263819443581468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25682690137666e-05,0,0,0
"X_23",0.244444662186117,0,0.00442273987621729,0.000177042453508465,0.178722056950532,5.04719123807601e-05,0.0355842944709841,0,0.0416153955688501,0.00020188764952304,2.52359561903801e-05,0.0485887254410869,0.00500173408128475,0.00937790964687932,0,2.53010828863475e-05,0,0,0.024208348871584,0.00747987254353149,0,0,0.00146609514679284,0,0,0,0.000505826277639048,0,0,0.0061144607147163,0.00945036118065209,0.00325928082362111,0.00131493991643443,2.52359561903801e-05,0.00694874518300609,0.00904586948795037,0,0,0.000379125483119408,0,0.000252489815295735,0.00646743846790178,0,0,0.00452329294080301,0.00733536023616176,2.53010828863475e-05,0,0.000505565770855178,0,0,0.00143949152998714,0.00925667949482095,0,5.04719123807601e-05,0,0.00464966810184281,0.000252359561903801,0,0,0,0,0,0,0.000404166059221886,0,0,0,0.000126244907647868,0.000834219341593826,0,0,0,7.57078685711402e-05,0,0,0,0,0,0,0,0,0.0031327102824934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_24",0.110003891239398,0,0.0122216858806051,0,0.393676462694159,0,0.076920255491484,0,0.0191868372482583,0.041034134249419,0,0.0218828340345786,0.00192788100474279,0.018036501345699,0,0,0.00836863623830673,0,0.00454044816992187,0.000959292009001593,0,0,0.000751717229373187,0,4.45632798573975e-05,0,0.000851422312329507,0,0,0.0014638988999007,0.00643327823679217,0.00276890478284178,0.000733306377910524,2.85908974423501e-05,0.00262628722769731,0.00158756098997683,2.69447363457549e-05,0.00014295448721175,7.23003241541728e-05,0,0.000464740560125936,0.00133542293049103,0.000216108664511498,0,0.00112989278922105,0.000381344791651947,5.88279559812954e-05,0,0.00105707554398859,0,0,0.00268142438422358,0.00349690653930072,0,0,2.85908974423501e-05,0.00171945237196881,0.000121526700428626,0,0,0,0,0,0,0,0,0,0,0,0.00158555485085822,0,0,0,0,0,0,0,0,0,0,0,0,0.000131128280135468,0,0,0,0,0,0,0,0,0,0,0,0,0.000543411686988315,0,0,0,4.45632798573975e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_25",0.125096460462807,0,0.0354777884130342,0,0.226416859542533,0,0.0840683903506541,0,0.0229857746718349,0.0846403137860255,0,0.0440039271273413,0.00238864564006561,0.0409940665156308,0,0,0.00952766934927203,0,0.00721851455888848,0.00288772445640496,0,0,0.000940771534620901,0,0.000186799312685126,0,0.00170757597040729,0,0,0.00324171589672933,0.00484394991596268,0.00316275610179654,0.000730087632273025,0.000162914723022377,0.00491007749704486,0.00279718123091075,0.00109691128644801,0.00138049774107333,0.000214961306964746,0,0.000884978600810934,0.00228936093154702,0.000383402217893193,0,0.00218099035904541,0.00226975374650114,0.000244372084533565,0,0.000584282527718129,0,0.000445252394358502,0.00124574501233058,0.00422313725852184,0,0,0.000172718315545317,0.00250806858837936,6.73763643713785e-05,0,0,0,0,0,0,0.000547565724204769,0,0,0,3.36881821856893e-05,0.000293390047148264,0,0,0,0,0,0,0,0,0,0,7.16537689882488e-05,0,0.001479064721052,0,0,0,0,0,0,0,0.000214961306964746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_26",0.0354280838315556,0,7.01439990140327e-05,0,0.0133800558717381,0,0.00470680181719315,3.72689326177698e-05,0.0104813154823372,0.0294523776215293,0,0.0124116037389635,0.000600359147588661,8.96931945646358e-05,0,0,0.000111071848598675,0,0.00747258338989132,0.000482075988474076,0.722372576448226,0,0.0203820265612738,0,7.81612743964673e-05,0,1.33258708456598e-05,0,0,0.000970557322597538,0.001021367413854,0.0103508070517565,0.000133185451887349,1.86344663088849e-05,0.00151255742789667,0.00116267890549897,7.1973457497469e-05,0,3.19603371545447e-05,3.8183661859488e-05,6.39206743090894e-05,0.00110838743630537,0.000289508000680284,0,0.000660836192723907,0.00018557420602827,0,4.62009372419226e-05,0.0001163804440619,0,4.62009372419226e-05,0.0009502731777923,0.000561187499918207,0,3.8183661859488e-05,1.86344663088849e-05,0.000621737801622701,0.00398677344061531,0,0,0,0,1.33258708456598e-05,0,1.33258708456598e-05,0,0,0,0,0.000136808861048277,0.00355529225560466,0,1.86344663088849e-05,0,0,0,0,0,0,0,0,0,0,0.0272097446491876,0,0,0,0,0,0,0,0,0,0.0187049675994783,0,1.33258708456598e-05,0,0,0,0.0119674522856419,0,0,0.0127755537961317,0,0,0.00329998046573405,0,0,0,0,0,0,0,0,0,0
"X_27",0.227510444771583,0,0.00829395868941173,0,0.102230438861587,0,0.0171879408972393,0,0.0313684760651025,0.0920851822525265,0,0.0388156548955359,0.0040242382289277,0.00684623771975166,0,0,0.000410455969715013,0,0.0159837150166487,0.00343523750677674,0,0,0.00157398634108389,0,8.95441471757211e-05,0,0.000265014673293904,0,0,0.0046738409523883,0.00730734244473231,0.00547973827696979,0.00250470543651793,0.000201338445666498,0.00668306409890452,0.00637771043312927,0.000257235594911887,0.000779485863117677,0.000164073679502906,0,0.000469970887193662,0.00519970898882735,0.000619573493763529,0,0.00394609092836725,0.00490575216966737,5.58971492453885e-05,0,0.000339544205621088,0,0.000212735292281775,0.000976662998635418,0.00829885056665121,0,0,0.000182706062584702,0.00355372379981854,0.000167691447736165,0,0,0,0,0,0,0.000275867977993683,0,0,0,0,0.00014544129642111,0,0,0,0,0,0,0,0,0,0,0,0,0.00140213358319897,0,0,0,0,0,0,0,0.000126808913339313,0,0,0,0,0.0002836470563757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_28",0.110872533142331,0,0.00788239157710875,0,0.326652016467553,0,0.0832890767380399,0.000108049835432883,0.0204404379300057,0.159737477720772,0,0.0144055477284898,0.00108813312624138,0.00613278110943419,0,0,0.00111794212584723,0,0.00821125550314248,0.00346668968185354,0,0,0.030688009635603,0,0.000448830012501504,0,6.23402531014276e-05,0,0,0.00241799249297592,0.00822579495892322,0.00733849195972249,0.00285719556771951,0.000335236620145297,0.00571074069521719,0.00278439923967193,0.0008630375565182,0.00790991126343762,0.000238273898559062,0,0.000520166164460349,0.00167963544266058,0.000542340392153645,0,0.0018431208473267,0.000480000139052218,0.000124680506202855,0,0.000329693063221973,0,6.23402531014276e-05,0.00113938626549616,0.00450629192272987,0,5.67966961781035e-05,7.6879708882169e-05,0.00185347787312898,0.000144763518906921,0,0,0,0,0,0,0,0,0,0,0,0.00101470575929331,0,0,0.000150307075830245,0,6.23402531014276e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_29",0.175585498709987,0,0.00383489354850709,0,0.117258054987561,0,0.0076209921910502,0.276445803881885,0.0704656379441905,0.0999976287697922,0,0.0251480898880879,0.00142423004254548,0.00374552271914579,0,0,0.00249327474539368,0,0.00478601876059417,0.000508246213249439,1.48951382268827e-05,0,0.0006660373856119,0,5.9580552907531e-05,0,1.48951382268827e-05,0,0,0.00141441732402689,0.00717370248907673,0.00366671975914455,0.000467318168954135,6.23649948679157e-05,0.00258132052543203,0.00167925890593791,0.000321151228645692,0.000202476587043109,4.74698566410329e-05,0.000145680476095963,0.00174440834276621,0.00137676018590445,0.00620941021802919,0,0.0015131144076943,0.0346231584048752,0.000115890199642198,0,3.86300665473992e-05,0,0,0.000312311438552058,0.0010667467251003,0,0,7.72601330947984e-05,0.00128411845037029,0.000118674641602582,0,0,0,0,1.48951382268827e-05,0,4.46854146806482e-05,0,0,0,0,0.000909928481162793,0,0.000136840686002329,0.000148951382268827,0,0,0,0,0,0,2.37349283205165e-05,0,0,0,0,0,0,0,0,0,0,7.12047849615494e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_3",0.146553259176774,0,0.0191956528780705,0,0.00178128798053019,0,0.0880052338156176,0,0.029646754553285,0.0028742198195543,0,0.0285265432889207,0.0814866115018544,0.0673584019663463,0,0,0.116950178565853,0,0.00713121271187724,0.00171072799903484,0,0,0.00337176603564862,0,0.00296962478226018,0,0.00112085785624793,0,0,0.00264783192802055,0.00492328711325745,0.000547236178515379,0.00201776226509172,5.49074671896343e-05,0.00418126604719406,0.00261563297328617,0.000161045414806976,0.00147330914721531,0.0375741031545624,0,0.0030656256957147,0.00261622892403481,9.38644446992354e-05,0,0.00224906968601972,0.00470152077574363,0.000706741075315711,0,0.000348774304205446,0,0.000265642844417673,0.000428526752605612,0.00286224429201052,0,0,0.000651535632751757,0.00104294390122873,0.000233741865057607,0.000318711818226344,0,4.60129756591359e-05,0,0.000897551000727469,0,0,0,0,0,0.00326135515052071,0.000146933418507906,0,0,0,0,0,0,0,0,0,0,0.000127603917440265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000580975651256409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_30",0.328784273355348,0,0.000983658386841058,0,0.1285741277527,0,0.0228562531349497,0,0.0345136292316955,0.114036605529113,0,0.0282888260414573,0.0021543241148794,0.000547291832108239,0,0,0.000409526888385917,0,0.01010082076941,0.00477918900560738,0,0,0.0170272087845122,0,0.000140175941138786,0,2.58758991874968e-05,0,0,0.00418183681670763,0.00874315222400046,0.00631220444812725,0.00163109485257651,5.81510298547387e-05,0.00673847062917666,0.00322826285439959,0.00100899529998052,0.000273748160968688,0,0.000621895062766853,0.000900056238910194,0.00993951644047726,0.000551075576342383,0,0.00283768944912648,0.000986903145027168,0,0,4.67253137129285e-05,0,2.58758991874968e-05,0.000614677871970558,0.00380462478048624,0,0,0.000112518315475334,0.00192014275881363,0.000311049776297995,0,0,0,0,0,0,1.16302059709477e-05,0,0,0,0,0,0,0,0.000188903272609903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.01902154839615e-05,0,0,0,0,1.16302059709477e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
