"","FF_FUNGI_00000035","FF_FUNGI_00000005","FF_FUNGI_00000008","FF_FUNGI_00000249","FF_FUNGI_00000077","FF_FUNGI_00000014","FF_FUNGI_00000028","FF_FUNGI_00000018","FF_FUNGI_00000072","FF_FUNGI_00000010","FF_FUNGI_00000080","FF_FUNGI_00000003","FF_FUNGI_00000037","FF_FUNGI_00000386","FF_FUNGI_00000290","FF_FUNGI_00000185","FF_FUNGI_00000254","FF_FUNGI_00000441","FF_FUNGI_00000272","FF_FUNGI_00000013","FF_FUNGI_00000297","FF_FUNGI_00000275","FF_FUNGI_00000341","FF_FUNGI_00000096","FF_FUNGI_00000039","FF_FUNGI_00000012","FF_FUNGI_00000153","FF_FUNGI_00000001","FF_FUNGI_00000225","FF_FUNGI_00000178","FF_FUNGI_00000506","FF_FUNGI_00000075","FF_FUNGI_00001214","FF_FUNGI_00000408","FF_FUNGI_00001358","FF_FUNGI_00000809","FF_FUNGI_00000252","FF_FUNGI_00000257","FF_FUNGI_00000372","FF_FUNGI_00000462","FF_FUNGI_00001558","FF_FUNGI_00000350","FF_FUNGI_00000092","FF_FUNGI_00003293","FF_FUNGI_00000607","FF_FUNGI_00001054","FF_FUNGI_00000159","FF_FUNGI_00000425","FF_FUNGI_00004261","FF_FUNGI_00002725","FF_FUNGI_00000680","FF_FUNGI_00001746","FF_FUNGI_00000423","FF_FUNGI_00002115","FF_FUNGI_00000167","FF_FUNGI_00000165","FF_FUNGI_00001014","FF_FUNGI_00001855","FF_FUNGI_00000356","FF_FUNGI_00000803","FF_FUNGI_00001352","FF_FUNGI_00002221","FF_FUNGI_00003876","FF_FUNGI_00001477","FF_FUNGI_00003669","FF_FUNGI_00001265","FF_FUNGI_00002973","FF_FUNGI_00000477","FF_FUNGI_00001024","FF_FUNGI_00000861","FF_FUNGI_00007485","FF_FUNGI_00000169","FF_FUNGI_00003522","FF_FUNGI_00020953"
"FF4_SS2",0.170436585906931,0.131070904689496,0.124029376978039,0,0,0.0849867053153537,0,0.072536166041887,0,0.0922464737770548,0.0495543207193757,0.0315214517697383,0.0391054217938457,0.0214610015502779,0,0.0329752491269992,0,0,0.0202516790590242,0.0214212305401229,0,0.0194494935333795,0,0,0.00866395469485126,0,0,0.0119467767493667,0.000840495962016292,0.00768414446275886,0.00885359414773573,0.00316545839084412,0.00676693938738778,0,0,0.00807422864642173,0,0.00169656380655688,0,0.00342202699253838,0.00327898460381242,0.0133312124652447,0,0,0,0.00510613815772058,0,0,0.00335642324588277,0,0,0,0,0,0,0,0,0,0,0.0013824022898819,0,0,0,0,0,0,0.000446895354603946,0,0.000922410723643967,0,0,0,0,0
"FF4_SS3",0.173633780369049,0.106668902377825,0.0996799687940859,0,2.33961911000889e-05,0.0829116226715761,0,0.0626817090948286,0,0.0581891291744178,0.0454105370206403,0.031170605697827,0.0249302376390055,0.0436881726858741,0,0.0141903503654075,0,0,0.0239237920494457,0.0195120761580816,0,0.0103798243194948,0,0,0.00525438445637838,0,0,0.0129907201398936,0.118742121437005,0.00523822475179637,0.00562919627549562,0.00323675120041164,0.00664978988181572,0,0,0.00629665586326761,0,0.00171465012146194,0,0.000932913975224436,0.0091786110984401,8.50448611642641e-06,0,0,0,0.0035951728717117,0.00706271626955294,0,0.00124026891828507,0,0,0,0,0,2.33961911000889e-05,0,0,0,0,0.000736517435531373,0,0,0,0,0,0,0.0136429631318437,0,0.000832336886009104,0,0,0,0,0
"FF5_SS1",0.133693693693694,0.132492492492492,0.213693693693694,0,0,0.0613813813813814,0,0.0966966966966967,0,0.0333933933933934,0.0636636636636637,0.0406006006006006,0.045045045045045,0.0261861861861862,0,0.00936936936936937,0,0,0.0136936936936937,0.0145345345345345,0,0.0314714714714715,0,0,0.00984984984984985,0,0,0.0110510510510511,0.00012012012012012,0.00804804804804805,0.00564564564564565,0.00396396396396396,0.00624624624624625,0,0,0.0156156156156156,0,0.000840840840840841,0,0.0012012012012012,0.00564564564564565,0.00780780780780781,0,0,0,0.00288288288288288,0,0,0.00264264264264264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132132132132132,0,0.00036036036036036,0.00012012012012012,0,0,0,0
"FF5_SS2",0.107381202196802,0.124655991988656,0.12702835814397,0,0,0.0787770875895023,0,0.0839442723242375,0,0.190344793437254,0.053612084119115,0.0316757445965685,0.0262138117146274,0.0328208272754514,0,0.0153554094928966,0,0,0.0167315183734171,0.0161554938408095,0,0.0103626362649925,0,0,0.0082574728579856,0,0,0.0116115402970447,0.000236712002247001,0.00705925867746229,0.00383529874784328,0.00397799868355788,0.00550487518984683,0,0,0.00385131460661687,0,0.009629257627382,0,0.00128099551026646,0.00434455780948129,0,0,0,0,0.00307125008217092,0.0190808809405305,0,0.00158563404787171,0,0,0,0,0,0,0,0,0,0,0.000696382516077754,0,0,0,0,0,0,0.000424996521075453,0,0.000492342524239353,0,0,0,0,0
"FF5_SS3",0.105605341093111,0.185830941727804,0.0906556572805274,0,0,0.112535450878884,0,0.0467125642442405,0,0.0561700866546972,0.0712131624169512,0.0286807656859941,0.0233334690669946,0.0207935480360648,0,0.0130579883880421,0,0,0.0150886583445173,0.0258939479889613,0,0.00944294269253789,0,0,0.0199581998395896,0,0,0.0162057734955662,0.000167730985538778,0.0095049771020607,0.0663311313398395,0.00435465876649327,0.00756864577043447,0,0,0.0124694956007962,0,0.00208970872272578,0,0.000842852348370528,0.00458772464929763,0.0106187318978022,0,0,0,0.00334272616360323,0,0,0.0179273772520544,0,0,0,0,0,0,0,0,0,0,0.000228821588252374,0,0,0,0,0,0,0.000457005258289885,0,0.000592660900614459,0.0176708427994081,0,0,0,0
"FF6_SS1",0,0,0,0.711061600756913,5.3668223045135e-06,0,0.286521188278276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FF6_SS2",0,0,0,0.000121031957082873,0,0,0.321138709927577,0,0.678483688710118,0,0,0,0,0,0,0,0,0,0,0,0,0,9.38729148478789e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FF6_SS3",0,0,0,0.690215105665078,0,0,0.307517092048275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FF7_SS1",0.1704040296295,0.16784886605815,0.133814491342019,0,0,0.0496892514087212,0,0.0481436428161703,0,0.0909759686043838,0.0393675727140289,0.0982329204286817,0.0260678735877945,0.0215885719171705,0,0.0312944030772563,0,0,0.006304273728761,0.00417502554646403,0,0.0135647531937177,0,0,0.0101636620657161,0,0,0.0100346717760102,7.19529445363018e-05,0.00723247557535819,0.00101630217212162,0.012825102742365,0.00438233281275732,0,0,0.00540514435069257,0,0.0349392558400097,0,0.000765456131935936,0.00102333149376294,0,0,0,0,0.00095167935896218,0.00338262645601842,0,0.000106256336458193,0,0,0,0,0,0,0,0,0,0,0.00341048448031388,0,0,0,0,0,0,0.000415933334796427,0,0.00240168807536711,0,0,0,0,0
"FF7_SS2",0.124360717684566,0.131044338573993,0.189188033670659,0,0,0.0437045936976069,0,0.0342101409297344,0,0.0527260694492941,0.0601659986359541,0.108837941630305,0.0300548251189546,0.0385861263313509,0,0.0471240327688952,0,0,0.00523650736308915,0.00543047616409213,0,0.01955675078472,0,0,0.0124580796789231,0,0,0.00537337778604601,4.50222297259272e-05,0.0156409136606741,0.00181435202601896,0.0333031394389866,0.00808783319294062,0,0,0.00482646219199151,0,0.00506767400161692,0,0.00358342993948972,0.00145499477910025,0.00550498606032119,0,0,0,0.000383837257855883,0,0,0.000109186490232825,0,0,0,0,0,0,0,0,0,0,0.000249098282974893,0,0,0,0,0,0,0.000207117423034168,0,0.0115997784963469,0,0,0,0,0
